40.4265169	-86.9157539
	
40.4265173	-86.9157539
	
40.4262732	-86.9157343
	
40.4262697	-86.9157201
	
40.4262692	-86.9157197
	
40.4262692	-86.9157197
	
40.4274143	-86.9130833
	
40.4273995	-86.9130853
	
40.4274053	-86.9130638
	
40.4274045	-86.9130739
	
40.427284	-86.913731
	
40.4242876	-86.9165626
	
40.4275758	-86.9214039
	
40.4275961	-86.9214425
	
40.4275662	-86.9214859
	
40.4273325	-86.9209586
	
40.426181	-86.9118029
	
40.4253529	-86.9047394
	
40.4253071	-86.9047162
	
40.4253441	-86.9047314
	
40.4253442	-86.904728
	
40.4253441	-86.9047287
	
40.4253441	-86.9047287
	
40.4253451	-86.9047267
	
40.4253532	-86.9047269
	
40.425353	-86.9047169
	
40.4253532	-86.9047171
	
40.4253603	-86.9047277
	
40.425346	-86.9047278
	
40.4253468	-86.9047277
	
40.4253468	-86.9047277
	
40.4253468	-86.9047277
	
40.4253457	-86.9047275
	
40.4253532	-86.9047389
	
40.4253537	-86.9047389
	
40.4253603	-86.9047336
	
40.4253603	-86.9047336
	
40.4253822	-86.9047285
	
40.4253822	-86.9047285
	
40.4253385	-86.9047716
	
40.4253385	-86.9047716
	
40.4253458	-86.9047789
	
40.4253458	-86.9047789
	
40.4253462	-86.9047801
	
40.4253462	-86.9047801
	
40.4253465	-86.9047799
	
40.4253465	-86.9047799
	
40.4253529	-86.9047656
	
40.4253467	-86.9047803
	
40.4253467	-86.9047803
	
40.4253392	-86.9047726
	
40.4253392	-86.9047726
	
40.4253465	-86.9047801
	
40.4253465	-86.9047783
	
40.4253465	-86.9047783
	
40.4253469	-86.9047805
	
40.425353	-86.9047388
	
40.425353	-86.9047661
	
40.425353	-86.9047661
	
40.42535	-86.9047547
	
40.4253536	-86.9047662
	
40.4253467	-86.9047795
	
40.4253467	-86.9047795
	
40.4253466	-86.9047797
	
40.4253466	-86.9047797
	
40.425346	-86.9047279
	
40.425346	-86.9047279
	
40.4253127	-86.9047159
	
40.4252937	-86.9044912
	
40.4259819	-86.905635
	
40.4267534	-86.9189996
	
40.4277068	-86.9226251
	
40.4278325	-86.9227786
	
40.427757	-86.9225942
	
40.4277625	-86.9225946
	
40.4294092	-86.9218735
	
40.4253459	-86.9047807
	
40.4253388	-86.904773
	
40.4253444	-86.9047293
	
40.4253444	-86.9047293
	
40.4253447	-86.9047303
	
40.4253445	-86.9047295
	
40.4253772	-86.9046605
	
40.4253191	-86.9047439
	
40.425345	-86.9047281
	
40.4253463	-86.9047268
	
40.4253463	-86.9047268
	
40.4253447	-86.9047278
	
40.4253447	-86.9047278
	
40.4253524	-86.9047389
	
40.4253453	-86.9047287
	
40.4253537	-86.9047394
	
40.4253449	-86.9047258
	
40.4253466	-86.9047277
	
40.4253461	-86.9047284
	
40.4253461	-86.9047284
	
40.4253459	-86.9047286
	
40.4253456	-86.904728
	
40.4253456	-86.904728
	
40.4285942	-86.9108885
	
40.4295934	-86.9125771
	
40.4295916	-86.9125845
	
40.4295916	-86.9125845
	
